Id,Descripcion,Marca,Precio Publicado,CC,Promociones,Precio Por Litro,Observaciones,Total Pack,Precio por Lata
55,Cerveza roja Schneider 473 cc. ,Schneider,$ 100.0,473.0,No tiene promociones,$ 211.42,El precio es por Lata,No tiene Pack,$ 100.0
56,Cerveza rubia Budweiser 710 cc. ,Budweiser,$ 153.0,710.0,No tiene promociones,$ 215.49,El precio es por Lata,No tiene Pack,$ 153.0
57,Cerveza rubia Ipa Imperial 473 cc. ,Imperial,$ 130.5,473.0,2do al 50% Mi CRF Max 12 unidades  Iguales,$ 275.9,El precio es por Lata,No tiene Pack,$ 130.5
58,Cerveza rubia Patagonia kune 6 u. x 473 cc. ,Patagonia,$ 1007.0,473.0,No tiene promociones,$ 2128.96,El precio es por Pack,6,$ 167.83
59,Cerveza rubia Sol 473 cc. ,Sol,$ 160.0,473.0,No tiene promociones,$ 338.27,El precio es por Lata,No tiene Pack,$ 160.0
60,Cerveza rubia Warsteiner retornable 1 l. ,Warsteiner,$ 173.9,1000.0,No tiene promociones,$ 173.9,El precio es por Lata,No tiene Pack,$ 173.9
61,Cerveza rubia Sol 330 cc. ,Sol,$ 127.5,330.0,No tiene promociones,$ 386.36,El precio es por Lata,No tiene Pack,$ 127.5
62,Cerveza roja Quilmes red lager 6 u. x 473 cc. ,Quilmes,$ 471.4,473.0,No tiene promociones,$ 996.62,El precio es por Pack,6,$ 78.57
63,Cerveza roja Quilmes red lager 1 l. ,Quilmes,$ 149.3,1000.0,No tiene promociones,$ 149.3,El precio es por Lata,No tiene Pack,$ 149.3
64,Cerveza blanca Miller porrón 330 cc. ,Miller,$ 84.0,330.0,2do al 50% Mi CRF Max 12 unidades  Iguales,$ 254.55,El precio es por Lata,No tiene Pack,$ 84.0
65,Cerveza Imperial amber lager 710 cc. ,Imperial,$ 165.0,710.0,2do al 50% Mi CRF Max 12 unidades  Iguales,$ 232.39,El precio es por Lata,No tiene Pack,$ 165.0
66,Cerveza negra Stella Artois 975 cc. ,Stella Artois,$ 251.2,975.0,No tiene promociones,$ 257.64,El precio es por Lata,No tiene Pack,$ 251.2
67,Cerveza rubia Patagonia kune 730 cc. ,Patagonia,$ 264.3,730.0,No tiene promociones,$ 362.05,El precio es por Lata,No tiene Pack,$ 264.3
68,Cerveza negra Quilmes bock 1 l. ,Quilmes,$ 149.3,1000.0,No tiene promociones,$ 149.3,El precio es por Lata,No tiene Pack,$ 149.3
69,Cerveza rubia 1890 1 l. ,1890,$ 149.3,1000.0,No tiene promociones,$ 149.3,El precio es por Lata,No tiene Pack,$ 149.3
70,Cerveza rubia Schneider 1 l. ,Schneider,$ 130.0,1000.0,No tiene promociones,$ 130.0,El precio es por Lata,No tiene Pack,$ 130.0
71,Cerveza rubia Patagonia weisse 6 uni x 473 cc. ,Patagonia,$ 1007.0,473.0,No tiene promociones,$ 2128.96,El precio es por Pack,6,$ 167.83
72,Cerveza negra Andes Origen 1 l. ,Andes,$ 163.2,1000.0,2do al 50% Mi CRF Max 12 unidades Combinable ANDES,$ 163.2,El precio es por Lata,No tiene Pack,$ 163.2
73,Cerveza rubia Budweiser retornable 340 cc. ,Budweiser,$ 48.7,340.0,No tiene promociones,$ 143.24,El precio es por Lata,No tiene Pack,$ 48.7
74,Cerveza rubia Miller 1 l. ,Miller,$ 163.5,1000.0,2do al 50% Mi CRF Max 12 unidades  Iguales,$ 163.5,El precio es por Lata,No tiene Pack,$ 163.5
75,Cerveza rubia Temple roja 473 cc. 6 u. ,Temple,$ 950.0,473.0,No tiene promociones,$ 2008.46,El precio es por Pack,6,$ 158.33
76,Cerveza rubia Warsteiner 473 cc. ,Warsteiner,$ 113.0,473.0,No tiene promociones,$ 238.9,El precio es por Lata,No tiene Pack,$ 113.0
77,Cerveza roja amber lager Imperial 1 l. ,Imperial,$ 175.43,1000.0,2do al 50% Mi CRF Max 12 unidades  Iguales,$ 175.43,El precio es por Lata,No tiene Pack,$ 175.43
78,Cerveza sin alcohol Mecklenburger 500 cc. ,Mecklenburger,$ 129.0,500.0,No tiene promociones,$ 258.0,El precio es por Lata,No tiene Pack,$ 129.0
79,Cerveza rubia Blue Moon 355 cc. ,Blue Moon,$ 236.3,355.0,No tiene promociones,$ 665.63,El precio es por Lata,No tiene Pack,$ 236.3
80,Cerveza blanca Stella Artois botella 710 cc. ,Stella Artois,$ 316.0,710.0,No tiene promociones,$ 445.07,El precio es por Lata,No tiene Pack,$ 316.0
81,Cerveza de trigo Mecklenburger weibbier 500 cc. ,Mecklenburger,$ 114.0,500.0,No tiene promociones,$ 228.0,El precio es por Lata,No tiene Pack,$ 114.0
82,Cerveza roja Rabieta honey 473 cc. ,Rabieta,$ 195.0,473.0,No tiene promociones,$ 412.26,El precio es por Lata,No tiene Pack,$ 195.0
